23111,4582
,4582
subject:,4582
.,4522
",",4253
to,4174
the,4072
and,3638
-,3631
you,3593
:,3563
a,3521
for,3495
of,3439
on,3351
in,3281
is,3181
i,2911
/,2820
hav,2809
thi,2673
yo,2659
with,2645
be,2632
we,2444
),2429
wil,2423
',2404
that,2404
(,2372
pleas,2352
ar,2347
it,2320
at,2307
@,2285
vint,2284
from,2270
if,2168
enron,2045
com,2019
by,1998
not,1983
subject,1981
thank,1964
s,1929
as,1911
am,1867
me,1855
us,1753
cc,1751
can,1749
or,1743
re,1721
?,1720
our,1709
would,1702
kaminsk,1579
an,1573
tim,1481
al,1476
forward,1463
!,1462
any,1423
2000,1406
know,1391
"""",1351
pm,1348
j,1345
do,1312
lik,1302
off,1287
my,1286
ect,1273
her,1259
regard,1251
work,1238
let,1212
hou,1198
about,1170
get,1169
nee,1163
inform,1159
1,1150
has,1142
man,1110
10,1102
2,1099
look,1093
3,1073
mor,1038
may,1038
group,1026
but,1018
also,1017
fin,1013
so,1008
mak,983
research,982
mail,980
new,978
som,961
up,961
was,957
meet,948
see,934
what,923
e,920
ther,915
interest,909
very,907
out,901
day,901
week,900
oth,895
mess,892
cal,890
t,882
2001,879
been,873
email,872
follow,869
dat,857
busy,854
giv,847
just,846
11,826
contact,824
5,824
best,823
corp,823
want,818
which,815
tak,812
no,811
send,798
4,792
receiv,792
http,784
he,777
help,773
market,772
should,771
pric,765
12,758
could,736
now,736
direct,731
01,727
thes,725
year,722
houston,719
quest,716
list,715
who,710
discuss,703
good,696
00,695
provid,694
attach,688
don,688
30,686
they,672
when,671
sent,670
m,670
wel,668
how,661
think,648
risk,645
avail,644
company,631
ev,628
&,626
includ,620
$,619
ov,618
next,616
his,614
real,612
pres,612
their,611
develop,609
04,609
sint,609
dear,608
numb,607
cur,607
produc,602
gre,601
hop,590
energy,588
shirley,588
serv,584
spec,582
03,579
find,577
02,577
th,576
last,576
fax,574
www,573
stat,569
;,569
model,568
address,563
bas,560
talk,559
trad,556
fre,555
phon,554
_,553
hi,553
09,551
much,550
way,546
nam,544
into,543
form,542
op,541
15,539
ask,539
8,538
process,533
them,533
08,532
adv,525
below,525
05,525
two,524
program,519
request,516
opt,513
20,513
back,513
poss,512
than,511
chang,510
posit,509
univers,504
act,504
project,503
through,502
713,498
visit,496
had,496
first,494
start,493
d,492
6,490
today,489
shal,489
go,488
opportun,488
abl,486
sit,485
many,484
pow,478
p,478
edu,477
ord,477
system,470
aft,469
him,465
cop,465
origin,460
few,459
stinson,458
valu,455
peopl,454
fil,453
rel,452
addit,450
issu,449
person,443
friday,441
plan,439
most,438
then,436
>,435
fut,435
conf,435
set,433
again,431
7,431
06,430
review,429
gen,425
team,424
crenshaw,422
%,419
07,418
detail,416
support,415
wer,414
respons,412
bef,412
right,410
both,408
ll,403
requir,401
within,398
long,398
wher,396
19,394
9,393
16,391
depart,388
morn,387
click,386
feel,386
complet,385
access,384
high,384
interview,383
profess,381
apprecy,380
problem,378
